Indicator,Country,Date,value
Number of probable Ebola cases in the last 21 days,Liberia,2014-11-19,192
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-11-19,532
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-11-19,1389
Number of probable Ebola cases in the last 21 days,Sierra Leone,2014-11-19,5
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-11-19,1394
Cumulative number of confirmed Ebola deaths,Guinea,2014-11-19,982
Cumulative number of probable Ebola deaths,Guinea,2014-11-19,210
Cumulative number of suspected Ebola deaths,Guinea,2014-11-19,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-11-19,1192
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-11-19,2964
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-11-19,1041
Cumulative number of probable Ebola deaths,Sierra Leone,2014-11-19,174
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-11-19,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-11-19,1250
Cumulative number of confirmed Ebola deaths,Mali,2014-11-19,4
Cumulative number of probable Ebola deaths,Mali,2014-11-19,1
Cumulative number of suspected Ebola deaths,Mali,2014-11-19,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-11-19,5
Cumulative number of confirmed Ebola deaths,Spain,2014-11-19,0
Cumulative number of probable Ebola deaths,Spain,2014-11-19,0
Cumulative number of suspected Ebola deaths,Spain,2014-11-19,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-11-19,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-11-19,1
Cumulative number of probable Ebola deaths,United States of America,2014-11-19,0
Cumulative number of suspected Ebola deaths,United States of America,2014-11-19,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-11-19,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-11-19,7
Cumulative number of probable Ebola deaths,Nigeria,2014-11-19,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-11-19,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-11-19,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-11-19,0
Cumulative number of probable Ebola deaths,Senegal,2014-11-19,0
Cumulative number of suspected Ebola deaths,Senegal,2014-11-19,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-11-19,0
Cumulative number of confirmed Ebola cases,Guinea,2014-11-14,1647
Cumulative number of probable Ebola cases,Guinea,2014-11-14,208
Cumulative number of suspected Ebola cases,Guinea,2014-11-14,64
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-14,1919
Cumulative number of confirmed Ebola cases,Liberia,2014-11-14,2562
Cumulative number of probable Ebola cases,Liberia,2014-11-14,1716
Cumulative number of suspected Ebola cases,Liberia,2014-11-14,2600
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-14,6878
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-14,4683
Cumulative number of probable Ebola cases,Sierra Leone,2014-11-14,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-14,824
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-14,5586
Cumulative number of confirmed Ebola cases,Mali,2014-11-14,3
Cumulative number of probable Ebola cases,Mali,2014-11-14,1
Cumulative number of suspected Ebola cases,Mali,2014-11-14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-14,4
Cumulative number of confirmed Ebola cases,Spain,2014-11-14,1
Cumulative number of probable Ebola cases,Spain,2014-11-14,0
Cumulative number of suspected Ebola cases,Spain,2014-11-14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-14,1
Cumulative number of confirmed Ebola cases,United States of America,2014-11-14,4
Cumulative number of probable Ebola cases,United States of America,2014-11-14,0
Cumulative number of suspected Ebola cases,United States of America,2014-11-14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-14,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-11-14,19
Cumulative number of probable Ebola cases,Nigeria,2014-11-14,1
Cumulative number of suspected Ebola cases,Nigeria,2014-11-14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-14,20
Cumulative number of confirmed Ebola cases,Senegal,2014-11-14,1
Cumulative number of probable Ebola cases,Senegal,2014-11-14,0
Cumulative number of suspected Ebola cases,Senegal,2014-11-14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-14,1
Cumulative number of confirmed Ebola deaths,Guinea,2014-11-14,958
Cumulative number of probable Ebola deaths,Guinea,2014-11-14,208
Cumulative number of suspected Ebola deaths,Guinea,2014-11-14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-11-14,1166
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-11-14,2812
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-11-14,978
Cumulative number of probable Ebola deaths,Sierra Leone,2014-11-14,174
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-11-14,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-11-14,1187
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-11-14,3
Cumulative number of confirmed Ebola deaths,Spain,2014-11-14,0
Cumulative number of probable Ebola deaths,Spain,2014-11-14,0
Cumulative number of suspected Ebola deaths,Spain,2014-11-14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-11-14,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-11-14,1
Cumulative number of probable Ebola deaths,United States of America,2014-11-14,0
Cumulative number of suspected Ebola deaths,United States of America,2014-11-14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-11-14,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-11-14,7
Cumulative number of probable Ebola deaths,Nigeria,2014-11-14,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-11-14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-11-14,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-11-14,0
Cumulative number of probable Ebola deaths,Senegal,2014-11-14,0
Cumulative number of suspected Ebola deaths,Senegal,2014-11-14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-11-14,0
Cumulative number of confirmed Ebola cases,Guinea,2014-11-12,1612
Cumulative number of probable Ebola cases,Guinea,2014-11-12,208
Cumulative number of suspected Ebola cases,Guinea,2014-11-12,58
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-12,1878
Cumulative number of confirmed Ebola cases,Liberia,2014-11-12,2553
Cumulative number of probable Ebola cases,Liberia,2014-11-12,1687
Cumulative number of suspected Ebola cases,Liberia,2014-11-12,2582
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-12,6822
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-12,4523
Cumulative number of probable Ebola cases,Sierra Leone,2014-11-12,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-12,766
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-12,5368
Cumulative number of confirmed Ebola cases,Mali,2014-11-12,2
Cumulative number of probable Ebola cases,Mali,2014-11-12,2
Cumulative number of suspected Ebola cases,Mali,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-12,4
Cumulative number of confirmed Ebola cases,Spain,2014-11-12,1
Cumulative number of probable Ebola cases,Spain,2014-11-12,0
Cumulative number of suspected Ebola cases,Spain,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-12,1
Cumulative number of confirmed Ebola cases,United States of America,2014-11-12,4
Cumulative number of probable Ebola cases,United States of America,2014-11-12,0
Cumulative number of suspected Ebola cases,United States of America,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-12,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-11-12,19
Cumulative number of probable Ebola cases,Nigeria,2014-11-12,1
Cumulative number of suspected Ebola cases,Nigeria,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-12,20
Cumulative number of confirmed Ebola cases,Senegal,2014-11-12,1
Cumulative number of probable Ebola cases,Senegal,2014-11-12,0
Cumulative number of suspected Ebola cases,Senegal,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-12,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-11-12,313
Number of probable Ebola cases in the last 21 days,Guinea,2014-11-12,12
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-11-12,325
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-11-12,335
Number of probable Ebola cases in the last 21 days,Liberia,2014-11-12,131
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-11-12,466
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-11-12,1197
Number of probable Ebola cases in the last 21 days,Sierra Leone,2014-11-12,14
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-11-12,1211
Cumulative number of confirmed Ebola deaths,Guinea,2014-11-12,934
Cumulative number of probable Ebola deaths,Guinea,2014-11-12,208
Cumulative number of suspected Ebola deaths,Guinea,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-11-12,1142
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-11-12,2836
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-11-12,960
Cumulative number of probable Ebola deaths,Sierra Leone,2014-11-12,174
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-11-12,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-11-12,1169
Cumulative number of confirmed Ebola deaths,Mali,2014-11-12,2
Cumulative number of probable Ebola deaths,Mali,2014-11-12,2
Cumulative number of suspected Ebola deaths,Mali,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-11-12,4
Cumulative number of confirmed Ebola deaths,Spain,2014-11-12,0
Cumulative number of probable Ebola deaths,Spain,2014-11-12,0
Cumulative number of suspected Ebola deaths,Spain,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-11-12,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-11-12,1
Cumulative number of probable Ebola deaths,United States of America,2014-11-12,0
Cumulative number of suspected Ebola deaths,United States of America,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-11-12,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-11-12,7
Cumulative number of probable Ebola deaths,Nigeria,2014-11-12,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-11-12,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-11-12,0
Cumulative number of probable Ebola deaths,Senegal,2014-11-12,0
Cumulative number of suspected Ebola deaths,Senegal,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-11-12,0
Cumulative number of confirmed Ebola cases,Guinea,2014-11-07,1479
Cumulative number of probable Ebola cases,Guinea,2014-11-07,204
Cumulative number of suspected Ebola cases,Guinea,2014-11-07,77
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-07,1760
Cumulative number of confirmed Ebola cases,Liberia,2014-11-07,2514
Cumulative number of probable Ebola cases,Liberia,2014-11-07,1629
Cumulative number of suspected Ebola cases,Liberia,2014-11-07,2476
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-07,6619
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-07,4149
Cumulative number of probable Ebola cases,Sierra Leone,2014-11-07,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-07,634
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-07,4862
Cumulative number of confirmed Ebola cases,Mali,2014-11-07,1
Cumulative number of probable Ebola cases,Mali,2014-11-07,0
Cumulative number of suspected Ebola cases,Mali,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-07,1
Cumulative number of confirmed Ebola cases,Spain,2014-11-07,1
Cumulative number of probable Ebola cases,Spain,2014-11-07,0
Cumulative number of suspected Ebola cases,Spain,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-07,1
Cumulative number of confirmed Ebola cases,United States of America,2014-11-07,4
Cumulative number of probable Ebola cases,United States of America,2014-11-07,0
Cumulative number of suspected Ebola cases,United States of America,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-07,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-11-07,19
Cumulative number of probable Ebola cases,Nigeria,2014-11-07,1
Cumulative number of suspected Ebola cases,Nigeria,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-07,20
Cumulative number of confirmed Ebola cases,Senegal,2014-11-07,1
Cumulative number of probable Ebola cases,Senegal,2014-11-07,0
Cumulative number of suspected Ebola cases,Senegal,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-07,1
Cumulative number of confirmed Ebola deaths,Guinea,2014-11-07,850
Cumulative number of probable Ebola deaths,Guinea,2014-11-07,204
Cumulative number of suspected Ebola deaths,Guinea,2014-11-07,0
